x-coordinate,y-coordinate,Similarity_score
155,70,0.75
155,64,0.75
155,58,0.75
155,59,0.75
155,65,0.75
155,71,0.555555556
155,164,0.75
155,170,0.555555556
155,158,0.555555556
155,212,0.555555556
155,206,0.555555556
141,169,0.555555556
141,97,0.555555556
141,83,0.555555556
141,196,0.555555556
141,68,0.75
141,182,0.75
141,6,0.75
141,54,0.555555556
141,40,0.75
141,41,0.555555556
141,7,0.555555556
141,55,0.555555556
141,183,0.555555556
141,197,0.555555556
141,69,0.555555556
141,82,0.555555556
141,168,0.555555556
141,96,0.272727273
141,140,0.75
141,154,0.75
141,208,0.555555556
141,142,0.555555556
141,156,0.75
141,80,0.75
141,94,0.555555556
141,181,0.555555556
141,195,0.75
141,43,0.75
141,57,0.555555556
141,5,0.75
141,56,0.75
141,4,0.75
141,42,0.555555556
141,194,0.555555556
141,180,0.75
141,95,0.555555556
141,81,0.75
141,157,0.555555556
141,143,0.555555556
141,209,0.75
141,85,0.75
141,91,0.75
141,147,0.75
141,153,0.75
141,46,0.272727273
141,52,0.75
141,184,0.75
141,190,0.555555556
141,191,0.75
141,185,0.555555556
141,1,0.75
141,53,0.555555556
141,47,0.555555556
141,152,0.75
141,146,0.555555556
141,90,0.555555556
141,84,0.555555556
141,92,0.555555556
141,178,0.75
141,86,0.75
141,150,0.75
141,144,0.75
141,51,0.75
141,3,0.75
141,45,0.75
141,193,0.75
141,187,0.75
141,79,0.75
141,186,0.555555556
141,78,0.75
141,192,0.555555556
141,44,0.555555556
141,50,0.555555556
141,2,0.555555556
141,145,0.555555556
141,151,0.75
141,179,0.272727273
141,87,0.555555556
141,93,0.75
141,136,0.555555556
141,122,0.75
141,37,0.555555556
141,23,0.555555556
141,22,0.75
141,36,0.555555556
141,123,0.555555556
141,137,0.555555556
141,121,0.555555556
141,135,0.272727273
141,109,0.75
141,20,0.555555556
141,34,0.75
141,35,0.555555556
141,21,0.4
141,108,0.75
141,134,0.75
141,120,0.555555556
141,118,0.75
141,124,0.75
141,130,0.555555556
141,25,0.75
141,31,0.75
141,19,0.75
141,18,0.75
141,30,0.75
141,24,0.555555556
141,131,0.75
141,125,0.555555556
141,119,0.555555556
141,133,0.555555556
141,127,0.555555556
141,32,0.75
141,26,0.555555556
141,27,0.75
141,33,0.555555556
141,126,0.75
141,132,0.555555556
141,117,0.555555556
141,103,0.75
141,16,0.75
141,17,0.75
141,102,0.75
141,116,0.555555556
141,100,0.75
141,114,0.555555556
141,128,0.75
141,29,0.75
141,15,0.555555556
141,14,0.555555556
141,28,0.555555556
141,129,0.555555556
141,115,0.75
141,101,0.75
141,139,0.555555556
141,105,0.555555556
141,111,0.75
141,10,0.555555556
141,38,0.75
141,39,0.555555556
141,11,0.555555556
141,110,0.555555556
141,104,0.272727273
141,138,0.555555556
141,112,0.75
141,106,0.555555556
141,13,0.555555556
141,12,0.75
141,107,0.555555556
141,113,0.75
141,202,0.555555556
141,174,0.555555556
141,160,0.75
141,148,0.75
141,49,0.555555556
141,75,0.555555556
141,61,0.555555556
141,60,0.555555556
141,74,0.555555556
141,48,0.75
141,149,0.555555556
141,161,0.555555556
141,175,0.555555556
141,203,0.555555556
141,201,0.555555556
141,163,0.555555556
141,89,0.555555556
141,177,0.555555556
141,62,0.555555556
141,76,0.555555556
141,188,0.75
141,77,0.75
141,189,0.75
141,63,0.555555556
141,88,0.555555556
141,176,0.75
141,162,0.75
141,200,0.555555556
141,214,0.555555556
141,210,0.555555556
141,204,0.75
141,98,0.555555556
141,166,0.75
141,172,0.555555556
141,67,0.555555556
141,199,0.555555556
141,73,0.555555556
141,9,0.75
141,8,0.555555556
141,72,0.555555556
141,66,0.555555556
141,198,0.75
141,173,0.555555556
141,99,0.555555556
141,167,0.555555556
141,205,0.555555556
141,211,0.555555556
141,207,0.75
141,213,0.555555556
141,159,0.555555556
141,171,0.75
141,165,0.75
141,70,0.555555556
141,64,0.555555556
141,58,0.75
141,59,0.555555556
141,65,0.75
141,71,0.555555556
141,164,0.75
141,170,0.555555556
141,158,0.555555556
141,212,0.555555556
141,206,0.75
169,97,0.75
169,83,0.555555556
169,196,0.75
169,68,0.75
169,182,0.75
169,6,0.75
169,54,0.75
169,40,0.75
169,41,0.75
169,7,0.75
169,55,0.75
169,183,0.555555556
169,197,0.555555556
169,69,0.555555556
169,82,0.75
169,168,0.555555556
169,96,0.4
169,140,0.75
169,154,0.75
169,208,0.75
169,142,0.75
169,156,0.555555556
169,80,0.555555556
169,94,0.555555556
169,181,0.75
169,195,0.555555556
169,43,0.555555556
169,57,0.555555556
169,5,0.75
169,56,0.555555556
169,4,0.555555556
169,42,0.75
169,194,0.75
169,180,0.75
